Region,OECD Type,Gap,InvestmentEffect,CostPerPoint,Population,TotalCostPerPoint
Piemonte,Safety,0.07341614906832206,-0.0013169924190402638,6337.3382296542795,4256350,26973929573.788994
Piemonte,Environment,2.596541104003787,0.043717882998965396,44.939128049816745,4256350,191276657.6748375
Piemonte,Housing,4.440892098500626e-16,-0.07937141212232102,1.3287384294650523e+17,4256350,5.6555758142535755e+23
Piemonte,Community,1.2510076791076736,-0.06472928771600683,89.7463021929501,4256350,381991673.33896315
Piemonte,Life satisfaction,1.8681318681318664,-0.03465872627218214,155.23448182237723,4256350,660732286.7046753
Valle d'Aosta / Vallée d'Aoste,Education,0.3079396402195691,-0.022011235990390343,5104.958339023295,123360,629747660.7019136
Valle d'Aosta / Vallée d'Aoste,Health,0.056474176039390755,-0.10818976481784603,49099.28441192952,123360,6056887725.055625
Valle d'Aosta / Vallée d'Aoste,Civic engagement,0.12793657954948934,-0.00593293427175845,16340.020740961134,123360,2015704958.6049654
Valle d'Aosta / Vallée d'Aoste,Accessibility to services,0.5157036996200333,-0.09838360314775951,4260.96150570281,123360,525632211.3434987
Valle d'Aosta / Vallée d'Aoste,Housing,0.5617977528089906,0.016150920850647843,1171.193408338175,123360,144478418.85259727
Valle d'Aosta / Vallée d'Aoste,Community,1.5212779493779545,-0.10894548819671868,107.42672840599256,123360,13252161.216163242
Liguria,Safety,0.046242236024843564,-0.003398646747441836,10397.147564669469,1509227,15691655827.583408
Liguria,Civic engagement,0.19786664947955934,0.07239174511843549,4087.4384933113765,1509227,6168872534.944849
Lombardia,Environment,3.591565979625677,0.052212126431237516,21.113464188880883,9943004,209931258.88389936
Lombardia,Housing,0.5617977528089906,-0.06345107317850185,133.5562229828995,9943004,1327950059.3438616
Lombardia,Community,0.7555121836121836,-0.033769328732487836,156.58178893951265,9943004,1556893353.7527301
Abruzzo,Jobs,0.3693985785410554,0.08484413285829984,1479.5315643076365,1275950,1887808299.4783287
Abruzzo,Income,0.4945196910356877,0.10700220716031372,758.0979950551028,1275950,967295136.7905585
Abruzzo,Health,0.11023445806055143,0.007110418349960623,19858.870199066685,1275950,25338925430.499138
Abruzzo,Housing,4.440892098500626e-16,0.18590996736225662,2.7649306627162982e+17,1275950,3.5279132790928606e+23
Abruzzo,Community,1.8816383097383138,-0.06686554075930617,44.40052657713697,1275950,56652851.88609792
Abruzzo,Life satisfaction,0.32967032967032583,-0.03435115352905593,906.0941151026918,1275950,1156130786.1652796
Molise,Education,0.12554462255105925,0.03648046854839182,8891.42175312227,292150,2597628865.174671
Molise,Jobs,1.7082843304702857,0.13074503744006327,465.32944746074054,292150,135945998.07565534
Molise,Income,0.7690790905134879,0.09247152465305919,649.9722831417081,292150,189889402.51985002
Molise,Health,1.3164624251580808,0.024751376665236524,1810.1051311476315,292150,528822214.06478053
Molise,Civic engagement,0.2723083368244694,0.06928451752167786,3436.4285077100317,292150,1003952588.5274857
Molise,Accessibility to services,0.3684012524906928,0.13074503744006327,2157.7424024193883,292150,630384442.8668243
Molise,Housing,4.440892098500626e-16,0.18784881312134405,8.426859899541368e+17,292150,2.4619071196510107e+23
Campania,Education,1.7339370510824992,0.049785138725539135,734.6712181495203,5624420,4132099492.784525
Campania,Jobs,4.761675564619336,0.06364161126673407,71.49767277981859,5624420,402132940.73626727
Campania,Income,1.0819870539599679,0.11018942468627646,241.5186338785915,5624420,1358402234.7594275
Campania,Safety,0.07341614906832206,0.002085484033269469,6282.646722031299,5624420,35336243876.32728
Campania,Health,1.7030664204577306,-0.03505990940135928,1235.5790879752694,5624420,6949415733.989865
Campania,Environment,0.30798389007344706,0.17481734715472408,442.2797430080799,5624420,2487567032.1695046
Campania,Civic engagement,1.0505623408849187,0.058350429585403485,710.7578733163986,5624420,3997600797.838218
Campania,Housing,0.5617977528089906,0.11578680032104516,234.78164529581875,5624420,1320510581.4347088
Campania,Community,1.7465031746031743,-0.05235415224136841,48.05379434834554,5624420,270274722.00872165
Campania,Life satisfaction,0.7142857142857162,0.01274745694178453,280.8275578209102,5624420,1579492132.7590837
Puglia,Education,2.015820260206569,0.033805417176719255,589.2359832484044,3922941,2311537997.360479
Puglia,Jobs,3.4929618919926453,0.19789426018213396,94.30793354881996,3922941,369964459.14394134
Puglia,Income,0.8545474325500475,0.06615075393598091,323.882719175843,3922941,1270572798.2464008
Puglia,Safety,0.046242236024843564,0.0002197116685960232,9951.168922679808,3922941,39037848564.70645
Puglia,Health,0.5576492641710002,-0.003568535625250613,3944.136559361512,3922941,15472615018.318209
Puglia,Civic engagement,0.8475395572169795,0.023270446361763675,734.3500553162395,3922941,2880811940.352344
Puglia,Accessibility to services,0.0824895091787532,0.19789426018213396,3993.4049951099714,3922941,15665892184.921707
Puglia,Housing,0.5617977528089906,0.040799163095837754,144.07453688504287,3922941,565195907.802347
Basilicata,Education,0.09238189206586878,0.027931965903077227,12864.989542739351,541168,6962120660.86517
Basilicata,Jobs,0.8287435813643156,0.09562059237904785,897.7817076990852,541168,485850731.19209856
Basilicata,Income,0.8724978241949577,0.07132894125688793,533.352392181098,541168,288633247.37186044
Basilicata,Safety,0.019068322981363295,-0.0007456203646809545,24087.21888000224,541168,13035232066.853052
Basilicata,Health,0.34084550388898105,0.004449879290425285,6661.030876015955,541168,3604736757.1118026
Basilicata,Civic engagement,0.3896103896103895,0.011187465997142487,2169.344799056251,541168,1173979986.2156732
Basilicata,Accessibility to services,0.25820845924676306,0.09562059237904785,2881.5122087493664,541168,1559382198.984477
Basilicata,Housing,0.5617977528089906,0.032194216732426284,136.03130169290705,541168,73615787.47454712
Basilicata,Community,2.377133805233804,-0.08107818697946767,39.467151204548195,541168,21358359.28306294
Calabria,Education,1.352565650502879,0.03341545896580678,938.5385340090475,1855454,1741415077.0812232
Calabria,Jobs,4.583872181025528,-0.017738364817496688,268.82294157528514,1855454,498788602.2376291
Calabria,Income,1.0960617928633578,0.1507889358742543,639.8864437136158,1855454,1187279861.5342033
Calabria,Safety,0.07341614906832206,0.008558862706281256,6218.851953951481,1855454,11538793733.36709
Calabria,Health,1.038847854065251,0.08559640094279453,2113.256157256091,1855454,3921049590.0054426
Calabria,Civic engagement,2.0746994940543395,0.041717307324251385,356.9244717758826,1855454,662256938.8544484
Calabria,Accessibility to services,0.8504603094037826,-0.017738364817496688,1448.9212369855009,1855454,2688406704.8496957
Calabria,Community,1.3410977691977637,-0.07467105452441136,55.415712115317355,1855454,102821304.70721404
Calabria,Life satisfaction,2.2527472527472563,-0.03669305133919387,276.10135448164465,1855454,512293362.5783855
Sicilia,Education,1.8997507035084191,0.0266981831293287,641.2324091684635,4833329,3099287198.9738007
Sicilia,Jobs,4.760690623531927,0.08981667198456633,110.22862704208251,4833329,532771219.7126816
Sicilia,Income,0.9726528503046179,0.12614490160944775,389.27192041418385,4833329,1881479261.823567
Sicilia,Safety,0.07341614906832206,0.004891117215369056,6344.619672751414,4833329,30665634258.279922
Sicilia,Health,1.4656986178725306,-0.06079569468861434,1502.0441846122594,4833329,7259873716.767787
Sicilia,Civic engagement,2.2732106603074387,0.015457794948448345,448.86352036886717,4833329,2169505070.0409365
Sicilia,Accessibility to services,0.1044792848748326,0.08981667198456633,5022.664462459844,4833329,24276189803.676575
Sicilia,Housing,4.440892098500626e-16,0.36424053000378087,5.184248699795769e+17,4833329,2.5057179583935184e+24
Sicilia,Community,0.16992659802660448,0.00448096793443975,918.5001627997755,4833329,4439413473.364876
Sicilia,Life satisfaction,0.7142857142857162,0.03800923669735079,435.36781459021256,4833329,2104275883.9254975
Sardegna,Education,1.601286129141759,0.027836368223720487,687.5228438174724,1587413,1091382700.0728254
Sardegna,Jobs,2.2942997643118055,0.1107456815116421,379.56702653126155,1587413,602529632.2870694
Sardegna,Income,0.6778992602262877,0.03356434921235485,895.1322024899774,1587413,1420944494.9512227
Sardegna,Safety,0.046242236024843564,0.0015659136605501445,10085.525708003463,1587413,16009894620.7189
Sardegna,Civic engagement,1.6528632657664888,0.059669542037382284,610.0586702933069,1587413,968415063.9863093
Sardegna,Life satisfaction,2.2527472527472563,-0.03155409873131498,214.97731584019783,1587413,341257785.869836
Provincia Autonoma Bolzano / Bozen,Safety,0.046242236024843564,0.8463373515680379,12533.837551608987,532616,6675722421.387773
Provincia Autonoma Bolzano / Bozen,Civic engagement,0.8565627920466587,-0.8123602436545609,17690.217964989355,532616,9422093131.64077
Provincia Autonoma Bolzano / Bozen,Accessibility to services,0.7069445939543328,-0.1761216986719314,2224.7040590890324,532616,1184912977.1357641
Provincia Autonoma Bolzano / Bozen,Housing,0.5617977528089906,0.06178022027191854,626.4546679369788,532616,333659779.4179219
Provincia Autonoma Trento,Accessibility to services,0.02240027281371315,-0.004060780720227086,64137.266567350634,540958,34695567447.74087
Provincia Autonoma Trento,Housing,0.5617977528089906,0.09751202815323967,774.4065646447228,540958,418921426.39708
Veneto,Environment,3.2433072731580173,0.2086553489224593,38.539558114914016,4847745,186829950.15378386
Veneto,Accessibility to services,0.179131539605633,0.061132965021341135,2513.5158662138533,4847745,12184883972.858877
Veneto,Housing,4.440892098500626e-16,-0.05716051385420262,1.503964812716978e+17,4847745,7.290837901024667e+23
Veneto,Community,0.07983650793650376,-0.06027791157547857,1500.8869723633056,4847745,7275917315.839353
Veneto,Life satisfaction,0.7142857142857162,-0.01552234072599823,380.4608630229798,4847745,1844377246.4153354
Friuli-Venezia Giulia,Health,0.2729841642885207,-0.028650876370069467,8472.972853453091,1194647,10122211600.459175
Friuli-Venezia Giulia,Environment,0.059227671167967344,0.03997373235375701,2167.145020045031,1194647,2588973296.761736
Friuli-Venezia Giulia,Accessibility to services,0.09935591764868335,0.007238248005068892,5526.921563247188,1194647,6602720264.768563
Friuli-Venezia Giulia,Life satisfaction,1.0989010989010959,-0.011920938083876398,318.06150024502887,1194647,379971217.083223
Emilia-Romagna,Environment,1.4522624970386175,0.08107387752398809,73.16466435182072,4425366,323780418.02395946
Toscana,Accessibility to services,0.06040435766586327,0.024176958548573158,8568.448697115336,3663191,31387864151.234627
Toscana,Community,1.386142814242814,-0.06198415893650688,96.20656709199916,3663191,352423030.7123075
Toscana,Life satisfaction,0.7142857142857162,-0.014969419722922428,436.94991226706736,3663191,1600630986.0675108
Umbria,Accessibility to services,0.03433894749023292,0.078762023620777,18877.023537797875,858812,16211814338.543268
Umbria,Housing,4.440892098500626e-16,0.031131923878875645,1.5268624002025766e+17,858812,1.3112877516427752e+23
Marche,Safety,0.046242236024843564,0.002822346234292228,10058.996583148954,1487150,14959236768.629967
Marche,Accessibility to services,0.6447699257967434,0.10655577646098113,698.0948085313117,1487150,1038171694.5073403
Marche,Housing,4.440892098500626e-16,0.10827386544577111,1.406378743964541e+17,1487150,2.091496149086867e+23
Lazio,Jobs,0.24065775414805568,0.08984074514042462,1726.0422968473238,5714882,9864128053.491426
Lazio,Safety,0.019068322981363295,0.005661521766198607,25202.629489257106,5714882,144030053620.82462
